ALABAMA	Etowah County Sheriff's Office	2016-06-08
ARIZONA	Arizona Department of Corrections	2016-06-08
ARIZONA	City of Mesa Police Department	2016-06-23
ARIZONA	Pinal County Sheriff's Office	2016-06-13
ARIZONA	Yavapai County Sheriff's Office	2016-06-08
ARKANSAS	Benton County Sheriff's Office	2016-06-13
ARKANSAS	Washington County Sheriff's Office	2016-06-23
CALIFORNIA	Orange County Sheriff's Office	2016-06-23
FLORIDA	Clay County Sheriff's Office	2017-06-30
FLORIDA	Collier County Sheriff's Office	2016-06-13
FLORIDA	Jacksonville Sheriff's Office	2016-06-30
GEORGIA	Cobb County Sheriff's Office	2016-06-30
GEORGIA	Gwinnett County Sheriff's Office	2016-06-30
GEORGIA	Hall County Sheriff's Office	2016-06-23
GEORGIA	Whitfield County Sheriff's Office	2016-06-08
LOUISIANA	East Baton Rouge Parish Sheriff's Office	2017-05-03
MARYLAND	Anne Arundel County	2017-06-19
MARYLAND	Frederick County Sheriff's Office	2016-08-03
MARYLAND	Harford County Sheriff's Office	2016-10-26
MASSACHUSETTS	Bristol County Sheriff's Office	2017-01-18
MASSACHUSETTS	Massachusetts Department of Corrections	2016-06-23
MASSACHUSETTS	Plymouth County Sheriff's Department	2017-01-18
NEVADA	Las Vegas Metropolitan Police Department	2016-06-28
NEVADA	Nye County Sheriff's Office	2017-04-20
NEW JERSEY	Cape May County Sheriffs Office	2017-04-10
NEW JERSEY	Hudson County Department of Corrections	2016-07-22
NEW JERSEY	Monmouth County Sheriff's Office	2016-06-08
NEW JERSEY	Salem County Sheriff's Office	2016-12-08
NORTH CAROLINA	Cabarrus County Sheriff's Office	2016-06-28
NORTH CAROLINA	Gaston County Sheriff's Office	2016-06-30
NORTH CAROLINA	Henderson County Sheriff's Office	2017-02-28
NORTH CAROLINA	Mecklenburg County Sheriff's Office	2017-02-28
NORTH CAROLINA	Wake County Sheriff's Office	2016-06-08
OHIO	Butler County Sheriff's Office	2016-09-30
OKLAHOMA	Tulsa County Sheriff's Office	2016-06-23
SOUTH CAROLINA	Charleston County Sheriff's Office	2016-06-23
SOUTH CAROLINA	Horry County Sheriff's Office	2017-06-30
SOUTH CAROLINA	Lexington County Sheriff's Office	2016-11-04
SOUTH CAROLINA	York County Sheriff's Office	2016-06-28
TENNESSEE	Knox County Sheriff's Office	2017-06-15
TEXAS	Aransas County Sheriff's Office	2017-06-30
TEXAS	Calhoun County Sheriff's Office	2017-06-28
TEXAS	Carrollton Police Department	2016-06-13
TEXAS	Chambers County Sheriff's Office	2017-07-17
TEXAS	DeWitt County Sheriff's Office	2017-06-30
TEXAS	Galveston County Sheriff's Office	2017-06-30
TEXAS	Goliad County Sheriff's Office	2017-06-26
TEXAS	Jackson County Sheriff's Office	2017-01-26
TEXAS	Lavaca County Sheriff's Office	2017-06-30
TEXAS	Lubbock County Sheriff's Office	2016-11-16
TEXAS	Matagorda County Sheriff's Office	2017-07-27
TEXAS	Montgomery County Sheriff's Office	2017-06-28
TEXAS	Refugio County Sheriff's Office	2017-06-28
TEXAS	Smith County Sheriff's Office	2017-04-25
TEXAS	Tarrant County Sheriff's Office	2017-06-19
TEXAS	Victoria County Sheriff's Office	2017-07-12
TEXAS	Walker County Sheriff's Office	2017-07-20
TEXAS	Waller County Sheriff's Office	2017-05-22
TEXAS	Wharton County Sheriff's Office	2017-07-17
VIRGINIA	Prince William-Manassas Regional Adult Detention Center	2016-06-23
